Model,MAE_mean_boot,MAE_CI_lower,MAE_CI_upper
MultipleLinear,1.7741584568357887,1.7573719261234868,1.8084131874232763
Polynomial_deg2,1.7840166158852484,1.756463202877614,1.8351160493627807
Dummy_mean,2.124211754228445,2.117834902569827,2.1527540707127084
