Model,MAE_test,RMSE_test,R2_test,MAE_mean_boot,MAE_CI_lower,MAE_CI_upper
Polynomial_deg2,1.625153424165245,1.9806434307847,0.3364773599105473,1.7840166158852484,1.756463202877614,1.8351160493627807
MultipleLinear,1.6258700245313387,1.9902279228814312,0.33004014407234306,1.7741584568357887,1.7573719261234868,1.8084131874232763
Dummy_mean,1.9385897807398822,2.4468082707581207,-0.01261190741605156,2.124211754228445,2.117834902569827,2.1527540707127084
