Model,MAE_mean_boot,MAE_CI_lower,MAE_CI_upper
MultipleLinear,1.8088763437429782,1.4406719546036126,2.1793953628768135
Polynomial_deg2,1.8915862383154356,1.5415030554093205,2.26535617687449
Dummy_mean,2.5944210586303487,2.0599724958949097,3.1548946199169317
