Model,MAE_test,RMSE_test,R2_test,MAE_mean_boot,MAE_CI_lower,MAE_CI_upper
MultipleLinear,4.647666122991541,5.6398371929185185,0.61215754256836,4.823656019307346,4.736299646505992,4.985676953474379
Polynomial_deg2,4.828506329828191,6.0832435195164285,0.5487755547069577,4.405297000334326,4.319042650984489,4.546885278685863
Dummy_mean,7.616962233169131,9.12546518031815,-0.015388499234964215,7.096389044626174,7.0596259251619795,7.198393530539445
