Model,MAE_mean_boot,MAE_CI_lower,MAE_CI_upper
Polynomial_deg2,4.405297000334326,4.319042650984489,4.546885278685863
MultipleLinear,4.823656019307346,4.736299646505992,4.985676953474379
Dummy_mean,7.096389044626174,7.0596259251619795,7.198393530539445
